KB,Description
KB4099950,Not in lookup table
KB4100480,Not in lookup table
KB4103715,Not in lookup table
KB4103729,Not in lookup table
KB4103768,Not in lookup table
KB4132216,2018-05 Update for Windows Server 2016 for x64-based Systems (KB4132216)
KB4230450,Not in lookup table
KB4284878,Not in lookup table
KB4287903,Not in lookup table
KB4338419,Not in lookup table
KB4338424,Not in lookup table
KB4338605,Not in lookup table
KB4338824,Not in lookup table
KB4338832,Not in lookup table
KB4339284,Not in lookup table
KB4343205,Not in lookup table
KB4343888,Not in lookup table
KB4343902,Not in lookup table
KB4344145,Not in lookup table
KB4344152,Not in lookup table
KB4344153,Not in lookup table
KB4344166,Not in lookup table
KB4344178,Not in lookup table
KB4345424,Not in lookup table
KB4457008,Not in lookup table
KB4457009,Not in lookup table
KB4457015,Not in lookup table
KB4457034,Not in lookup table
KB4457044,Not in lookup table
KB4457045,Not in lookup table
KB4457131,2018-09 Delta Update for Windows Server 2016 for x64-based Systems (KB4457131)
KB4457143,Not in lookup table
KB4457146,Not in lookup table
KB4459934,Not in lookup table
KB4459935,Not in lookup table
KB4459941,Not in lookup table
KB4462901,Not in lookup table
KB4462930,Update for Adobe Flash Player for Windows Server 2019 (1809) for x64-based Systems (KB4462930)
KB4462941,Not in lookup table
KB4465659,Not in lookup table
KB4466536,Not in lookup table
KB4467087,Not in lookup table
KB4467694,Not in lookup table
KB4467703,Not in lookup table
KB4468323,Not in lookup table
KB4470630,Not in lookup table
KB4470639,Not in lookup table
KB4470641,Not in lookup table
KB4470788,2018-11 Update for Windows Server 2019 for x64-based Systems (KB4470788)
KB4471331,Not in lookup table
KB4474419,Not in lookup table
KB4480054,Not in lookup table
KB4480063,Not in lookup table
KB4480064,Not in lookup table
KB4480095,Not in lookup table
KB4480979,Not in lookup table
KB4483187,Not in lookup table
KB4483450,Not in lookup table
KB4483452,2019-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB4483452)
KB4483458,Not in lookup table
KB4483459,Not in lookup table
KB4485447,2019-02 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4485447)
KB4486105,Not in lookup table
KB4486459,Not in lookup table
KB4487038,Not in lookup table
KB4489883,Not in lookup table
KB4489899,2019-03 Cumulative Update for Windows Server 2019 for x64-based Systems (KB4489899)
KB4489907,Not in lookup table
KB4490628,Not in lookup table
KB4493467,Not in lookup table
KB4493473,Not in lookup table
KB4493478,Not in lookup table
KB4494174,2020-01 Update for Windows Server 2019 for x64-based Systems (KB4494174)
KB4494175,2019-06 Update for Windows Server 2016 for x64-based Systems (KB4494175)
KB4495585,Not in lookup table
KB4495586,Not in lookup table
KB4495606,Not in lookup table
KB4495608,Not in lookup table
KB4495615,Not in lookup table
KB4497165,"2020-09 Update for Windows Server, version 1909 for x64-based Systems (KB4497165)"
KB4497932,Not in lookup table
KB4498947,2019-05 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4498947)
KB4501226,Not in lookup table
KB4503290,Not in lookup table
KB4503308,Not in lookup table
KB4503537,2019-06 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4503537)
KB4504418,Not in lookup table
KB4505050,Not in lookup table
KB4506977,Not in lookup table
KB4506996,Not in lookup table
KB4507004,Not in lookup table
KB4507005,Not in lookup table
KB4509091,2019-07 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4509091)
KB4512574,2019-09 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB4512574)
KB4512577,2019-09 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB4512577)
KB4513661,Not in lookup table
KB4514338,Not in lookup table
KB4514350,Not in lookup table
KB4514371,Not in lookup table
KB4515846,Not in lookup table
KB4516115,2019-09 Security Update for Adobe Flash Player for Windows Server 2019 for x64-based Systems (KB4516115)
KB4516655,2019-09 Servicing Stack Update for Windows 7 for x64-based Systems (KB4516655)
